shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
8_shp,25.7306132,-100.3052187,1
8_shp,25.73013961,-100.3035504,2
8_shp,25.73010578,-100.3033465,3
8_shp,25.73012028,-100.3032339,4
8_shp,25.7299898,-100.3030461,5
8_shp,25.72877199,-100.3020054,6
8_shp,25.7259594,-100.3047305,7
8_shp,25.72550029,-100.3053421,8
8_shp,25.7246449,-100.3077185,9
8_shp,25.72461107,-100.3078312,10
8_shp,25.72441776,-100.307799,11
8_shp,25.72533114,-100.3053099,12
8_shp,25.72583375,-100.3045642,13
8_shp,25.72839989,-100.3020591,14
8_shp,25.72842888,-100.3018445,15
8_shp,25.72821141,-100.301351,16
8_shp,25.71666575,-100.2852631,17
8_shp,25.71568463,-100.28404,18
8_shp,25.71592629,-100.2838737,19
8_shp,25.71683974,-100.2851826,20
8_shp,25.7282984,-100.3011471,21
8_shp,25.7288759,-100.3018954,22
8_shp,25.729811,-100.3026223,23
8_shp,25.73024592,-100.3031132,24
8_shp,25.73049963,-100.3034806,25
8_shp,25.73143955,-100.3046179,26
8_shp,25.73157728,-100.3049397,27
8_shp,25.73148063,-100.3051034,28
8_shp,25.73097805,-100.305444,29
8_shp,25.73079683,-100.3054655,30
8_shp,25.73064702,-100.3053796,31
12_shp,25.72247497,-100.3170097,1
12_shp,25.70798523,-100.3168595,2
12_shp,25.70652553,-100.3168488,3
12_shp,25.70624518,-100.3169453,4
12_shp,25.70569416,-100.3168488,5
12_shp,25.70444711,-100.3167629,6
12_shp,25.70444711,-100.315572,7
12_shp,25.70558783,-100.3151214,8
12_shp,25.70560716,-100.3148746,9
12_shp,25.70884558,-100.3137159,10
12_shp,25.71208391,-100.3127289,11
12_shp,25.71352421,-100.3122139,12
12_shp,25.71793201,-100.310626,13
12_shp,25.72106377,-100.309478,14
12_shp,25.72705641,-100.3073215,15
12_shp,25.73034257,-100.3061736,16
12_shp,25.73091281,-100.3061843,17
12_shp,25.73124142,-100.306356,18
12_shp,25.73147821,-100.3068602,19
12_shp,25.7313719,-100.3077614,20
12_shp,25.73069535,-100.3094459,21
12_shp,25.7305697,-100.3098696,22
12_shp,25.73075334,-100.3116292,23
12_shp,25.73069052,-100.3122354,24
12_shp,25.72955004,-100.3146118,25
12_shp,25.72928908,-100.3150195,26
12_shp,25.72900396,-100.3161836,27
12_shp,25.7287285,-100.3166878,28
12_shp,25.7283129,-100.3169775,29
12_shp,25.72757351,-100.3170526,30
12_shp,25.72681961,-100.3168648,31
12_shp,25.72586274,-100.3168595,32
12_shp,25.72557278,-100.3170204,33
12_shp,25.72389098,-100.3169936,34
17_shp,25.66772079,-100.3101701,1
17_shp,25.66863461,-100.3154004,2
17_shp,25.66959194,-100.3153038,3
17_shp,25.6703462,-100.3191233,4
17_shp,25.67247356,-100.3187585,5
17_shp,25.67682487,-100.3181791,6
17_shp,25.68610712,-100.3168702,7
17_shp,25.68697729,-100.31672,8
17_shp,25.6877121,-100.3166878,9
17_shp,25.69683882,-100.31672,10
17_shp,25.70012581,-100.3167629,11
17_shp,25.70774356,-100.3141022,12
17_shp,25.71632744,-100.3110123,13
