stop_id,stop_name,stop_lat,stop_lon
8_stp1,8_stp1,25.7306132,-100.3052187
8_stp2,8_stp2,25.73013961,-100.3035504
8_stp3,8_stp3,25.72877199,-100.3020054
8_stp4,8_stp4,25.7246449,-100.3077185
8_stp5,8_stp5,25.72821141,-100.301351
8_stp6,8_stp6,25.71666575,-100.2852631
8_stp7,8_stp7,25.71568463,-100.28404
8_stp8,8_stp8,25.71592629,-100.2838737
8_stp9,8_stp9,25.71683974,-100.2851826
8_stp10,8_stp10,25.7282984,-100.3011471
8_stp11,8_stp11,25.7288759,-100.3018954
8_stp12,8_stp12,25.729811,-100.3026223
27_stp1,27_stp1,25.76523309,-100.3054252
27_stp2,27_stp2,25.76395767,-100.3056505
27_stp3,27_stp3,25.76328372,-100.3056988
27_stp4,27_stp4,25.76137539,-100.3059697
27_stp5,27_stp5,25.76067969,-100.3061199
27_stp6,27_stp6,25.75935832,-100.3063264
27_stp7,27_stp7,25.75841621,-100.3065115
27_stp8,27_stp8,25.75589662,-100.307453
27_stp9,27_stp9,25.75026056,-100.3095451
27_stp10,27_stp10,25.74588053,-100.3111839
27_stp11,27_stp11,25.736702,-100.3143597
27_stp12,27_stp12,25.73108195,-100.3163016
27_stp13,27_stp13,25.73081616,-100.3164947
27_stp14,27_stp14,25.72992698,-100.3133512
27_stp15,27_stp15,25.73044889,-100.3095853
27_stp16,27_stp16,25.7338606,-100.3046608
27_stp17,27_stp17,25.73959166,-100.3025901
27_stp18,27_stp18,25.75239616,-100.2980089
27_stp19,27_stp19,25.76479346,-100.2931595
27_stp20,27_stp20,25.77410749,-100.2889001
27_stp21,27_stp21,25.78037763,-100.2860677
27_stp22,27_stp22,25.7811505,-100.2881813
27_stp23,27_stp23,25.78152728,-100.2914321
27_stp24,27_stp24,25.78197168,-100.2951229
27_stp25,27_stp25,25.7838362,-100.2997363
27_stp26,27_stp26,25.78594221,-100.3016245
27_stp27,27_stp27,25.78471532,-100.3031695
27_stp28,27_stp28,25.77791405,-100.3040063
27_stp29,27_stp29,25.77494804,-100.3043711
27_stp30,27_stp30,25.76948921,-100.3049183
27_stp31,27_stp31,25.76704474,-100.3053474
22_stp1,22_stp1,25.76497704,-100.3117847
22_stp2,22_stp2,25.76534903,-100.3085715
22_stp3,22_stp3,25.76395767,-100.3056505
22_stp4,22_stp4,25.76137539,-100.3059697
22_stp5,22_stp5,25.75935832,-100.3063264
22_stp6,22_stp6,25.75841621,-100.3065115
22_stp7,22_stp7,25.75589662,-100.307453
22_stp8,22_stp8,25.75026056,-100.3095451
22_stp9,22_stp9,25.74588053,-100.3111839
22_stp10,22_stp10,25.736702,-100.3143597
22_stp11,22_stp11,25.73108195,-100.3163016
22_stp12,22_stp12,25.73001396,-100.3167844
22_stp13,22_stp13,25.72406496,-100.3281462
22_stp14,22_stp14,25.72327722,-100.3304797
22_stp15,22_stp15,25.725162,-100.3310055
22_stp16,22_stp16,25.72751552,-100.3315097
22_stp17,22_stp17,25.72954521,-100.3319657
22_stp18,22_stp18,25.73425202,-100.3330439
22_stp19,22_stp19,25.73652321,-100.3326792
22_stp20,22_stp20,25.74227347,-100.3231332
22_stp21,22_stp21,25.74282432,-100.3226531
22_stp22,22_stp22,25.76204693,-100.3218564
22_stp23,22_stp23,25.76357601,-100.3224358
17_stp1,17_stp1,25.66772079,-100.3101701
17_stp2,17_stp2,25.66863461,-100.3154004
17_stp3,17_stp3,25.66959194,-100.3153038
17_stp4,17_stp4,25.6703462,-100.3191233
17_stp5,17_stp5,25.67247356,-100.3187585
17_stp6,17_stp6,25.67682487,-100.3181791
17_stp7,17_stp7,25.68610712,-100.3168702
17_stp8,17_stp8,25.69683882,-100.31672
17_stp9,17_stp9,25.70774356,-100.3141022
17_stp10,17_stp10,25.71632744,-100.3110123
17_stp11,17_stp11,25.72444675,-100.3080404
17_stp12,17_stp12,25.7525411,-100.297966
17_stp13,17_stp13,25.76029077,-100.295198
17_stp14,17_stp14,25.76449393,-100.293299
17_stp15,17_stp15,25.76962448,-100.2910459
17_stp16,17_stp16,25.77967237,-100.2865076
17_stp17,17_stp17,25.80039347,-100.2771735
12_stp1,12_stp1,25.72247497,-100.3170097
12_stp2,12_stp2,25.70798523,-100.3168595
12_stp3,12_stp3,25.70652553,-100.3168488
12_stp4,12_stp4,25.70569416,-100.3168488
12_stp5,12_stp5,25.70444711,-100.3167629
12_stp6,12_stp6,25.70558783,-100.3151214
12_stp7,12_stp7,25.70884558,-100.3137159
12_stp8,12_stp8,25.71352421,-100.3122139
12_stp9,12_stp9,25.71793201,-100.310626
12_stp10,12_stp10,25.72106377,-100.309478
12_stp11,12_stp11,25.72705641,-100.3073215
12_stp12,12_stp12,25.73069535,-100.3094459
12_stp13,12_stp13,25.72955004,-100.3146118
12_stp14,12_stp14,25.72557278,-100.3170204
12_stp15,12_stp15,25.72389098,-100.3169936
34a_stp1,34a_stp1,25.72352852,-100.3088021
34a_stp2,34a_stp2,25.7234222,-100.3108513
34a_stp3,34a_stp3,25.72368317,-100.3136301
34b_stp1,34b_stp1,25.72419545,-100.3081316
34b_stp2,34b_stp2,25.72560178,-100.3076059
34b_stp3,34b_stp3,25.7271579,-100.307048
34b_stp4,34b_stp4,25.73390892,-100.3046179
34b_stp5,34b_stp5,25.73393792,-100.3022146
34b_stp6,34b_stp6,25.7371659,-100.2981162
34b_stp7,34b_stp7,25.74103163,-100.294683
34b_stp8,34b_stp8,25.74455417,-100.2934009
34b_stp9,34b_stp9,25.74623809,-100.294168
34b_stp10,34b_stp10,25.74853562,-100.2955064
34b_stp11,34b_stp11,25.74970249,-100.2984837
34b_stp12,34b_stp12,25.75047074,-100.3010935
34b_stp13,34b_stp13,25.75107953,-100.3032044
34b_stp14,34b_stp14,25.75223188,-100.3072786
34b_stp15,34b_stp15,25.7472552,-100.3106797
34b_stp16,34b_stp16,25.7431384,-100.3122461
34b_stp17,34b_stp17,25.74003622,-100.3133404
34b_stp18,34b_stp18,25.7378714,-100.31407
34b_stp19,34b_stp19,25.73167634,-100.3161085
34_stp1,34_stp1,25.71663675,-100.3108406
34_stp2,34_stp2,25.72370251,-100.3161407
34_stp3,34_stp3,25.72299692,-100.3169882
34_stp4,34_stp4,25.72113143,-100.316956
34_stp5,34_stp5,25.71794168,-100.3169775
34_stp6,34_stp6,25.71597945,-100.3169346
34_stp7,34_stp7,25.71155225,-100.3168702
34_stp8,34_stp8,25.70867158,-100.3168702
34_stp9,34_stp9,25.7067382,-100.316838
34_stp10,34_stp10,25.70298736,-100.3166664
34_stp11,34_stp11,25.6999518,-100.3169131
34_stp12,34_stp12,25.69710952,-100.3169131
34_stp13,34_stp13,25.69034191,-100.3168488
34_stp14,34_stp14,25.68662922,-100.3177714
34_stp15,34_stp15,25.68399934,-100.3180718
34_stp16,34_stp16,25.67866204,-100.3188229
34_stp17,34_stp17,25.67761775,-100.3199279
34_stp18,34_stp18,25.67740503,-100.3228784
34_stp19,34_stp19,25.67580958,-100.3230608
34_stp20,34_stp20,25.67373062,-100.3233397
